,Message,Subject,Relation,Object,Label
3589,"I have not. But I have heard great things about Tell No One. It's a Thriller - Mystery, right?",Tell No One,has_genre,Mystery,1
3590,What do you think about Sania Mirza?,Sania Mirza,is-a,Athlete,1
3591,A little bit.  I like Venus Williams.  Are you familiar with her?,Venus Williams,Matches Lost,Serena Williams,1
3592,I like her too.  Did you know she acts and starred in Hair Show.  Have you seen it?,Hair Show,starred_actors,Serena Williams,1
3593,Do you have any movies similar to Princess Mononoke?,Princess Mononoke,has_genre,War film,1
3594,"I like Adam Levine but cannot remember any names of his works, do you?",Adam Levine,Composer,Moves like Jagger,1
3595,Yes. He is one of my favorite singers. He wrote and sang This Love and also Moves like Jagger.,Moves like Jagger,Composer,Benny Blanco,1
3596,Do you like Snow Crash?,Snow Crash,written_by,Neal Stephenson,1
3597,It was written by Neal Stephenson.  It's an excellent Sci-Fi novel.,Neal Stephenson,written_by,Zodiac,1
3598,Oh okay is he the one that wrote Zodiac? ,Zodiac,written_by,Neal Stephenson,1
3599,"Could you recommend a book similar to ""Reflected in You""?",Reflected in You,written_by,Sylvia Day,1
3600,Have you seen Star Wars: Episode IV - A New Hope?,Star Wars: Episode IV - A New Hope,starred_actors,Harrison Ford,1
3601,I have never seen it or know much about Star Wars actually. I like Harrison Ford from The Expendables 3. Have you seen it?,The Expendables 3,starred_actors,Jason Statham,1
3602,"I have not seen 3 but the other two, good series thought. I really like the movies that Jason Statham is in. Do you know him?",Jason Statham,starred_actors,The Transporter,1
3603,You can try The Magic Faraway Tree and The Lady in the Lake,The Magic Faraway Tree,has_genre,Fantasy,1
3604,Could you recommend movies related to Dawn of the Planet of the Apes?,Dawn of the Planet of the Apes,has_genre,Sci-Fi,1
3605,"Sure, Dawn of the Planet of the Apes is considered Sci-Fi and some similar movies may include The Incredible Hulk and Resident Evil: Extinction ",The Incredible Hulk,written_by,Stan Lee,1
3606,I know that Stan Lee wrote and starred in The Incredible Hulk. Could you suggest something else he starred in?,Stan Lee,starred_actors,Iron Man 3,1
3607,"Absolutely, Stan Lee actually made a cameo in most of the Marvel films including Iron Man 3 and Thor",Iron Man 3,starred_actors,Stan Lee,1
3608,I have not seen Iron Man 3. Can you tell me who else starred in this film?,Iron Man 3,starred_actors,Robert Downey Jr.,1
3609,"Do you have any information that you can provide me on the book, For Whom the Bell Tolls?",For Whom the Bell Tolls,written_by,Ernest Hemingway,1
3610,Absolutely!  For Whom the Bell Tolls was written by Ernest Hemingway. It is a war novel that was released way back in 1940.,Ernest Hemingway,written_by,To Have and Have Not,1
3611,I love Hemingway! I did not realize that was his work. I also was interested in To Have and Have Not. Do you have any other suggestion? ,To Have and Have Not,written_by,Ernest Hemingway,1
3612, To Have and Have Not was also written by Ernest Hemingway. It is a war film just like The Longest Day & The Dogs of War.,Ernest Hemingway,written_by,To Have and Have Not,1
3613, To Have and Have Not was also written by Ernest Hemingway. It is a war film just like The Longest Day & The Dogs of War.,To Have and Have Not,has_genre,Romance Film,1
3614,Do you know a movie similar to A Walk to Remember?  I really loved that one! ,A Walk to Remember,written_by,Nicholas Sparks,1
3615,Two By Two is written by Nicholas Sparks,Nicholas Sparks,written_by,Two By Two,1
3616,Two By Two is written by Nicholas Sparks,Two By Two,release_year,2016,1
3617,Could you recommend some books like the ones written by Hilda Rosner?,Hilda Rosner,written_by,Siddhartha,1
3618,"I think I have heard of Siddhartha. It was co-written by Hermann Hesse, correct?",Hermann Hesse,written_by,Siddhartha,1
3619,I like the books written by author Jeffrey Eugenides. Can you recommend any latest books by him?,Jeffrey Eugenides,written_by,The Virgin Suicides,1
3620,I like Bill Bryson,Bill Bryson,written_by,A Walk in the Woods,1
3621,I do too. Have you read A Walk in the Woods?,A Walk in the Woods,written_by,Lee Blessing,1
3622,Bill Bryson and Lee Blessing both wrote it.,Bill Bryson,written_by,The Road to Little Dribbling,1
3623,Who wrote The Road to Little Dribbling,The Road to Little Dribbling,written_by,Bill Bryson,1
3624,You will be interested to know that it was also written by Bill Bryson. ,Bill Bryson,written_by,One Summer: America 1927,1
3625,Could you recommend movies by Chiaki Kuriyama?,Chiaki Kuriyama,starred_actors,Kill Bill: Vol. 1,1
3626,Interesting! I knew she was in the movie but did not know she help write it. Was Uma Thurman in the second Kill Bill?,Uma Thurman,starred_actors,Kill Bill Volume 2,1
3627,Could you recommend a movie like The Lord of the Rings: The Fellowship of the Ring?,The Lord of the Rings: The Fellowship of the Ring,has_genre,Fantasy,1
3628,I really liked the New York Giants winning in overtime yesterday. What do you think?,New York Giants,Game,Sinorice Moss,1
3629,That's great! I think that they have great players like Sinorice Moss and Rocky Bernard. Games like that have you on the edge of your seat.,Sinorice Moss,Game,New York Giants,1
3630,Do you know Siobhan Fallon Hogan?,Siobhan Fallon Hogan,starred_actors,The Negotiator,1
3631,"I like the movie Pretty Woman, can you give me some recommendations for similar movies?",Pretty Woman,starred_actors,Ralph Bellamy,1
3632,Then you might like The Tuxedo and The Dead Zone.,The Tuxedo,has_genre,Action,1
3633,Do you know about the actress Kate Winslet?,Kate Winslet,starred_actors,Titanic,1
3634,"Yes she starred in a lot of movies, but is probably best known for her role in Titanic. Did you watch the film?",Titanic,written_by,James Cameron,1
3635,I did! A long time ago.  i know James Cameron wrote it.  Can you tell me more about him?,James Cameron,Produced by,True Lies,1
3636,Sure James Caremon produced the blockbuster hit True Lies as well as Avatar,True Lies,has_genre,Action,1
3637,Could you recommend any books similar to Their Eyes Were Watching God?,Their Eyes Were Watching God,written_by,Zora Neale Hurston,1
3638,"Sure, would you like to hear about other books written by Zora Neale Hurston or other novels?",Zora Neale Hurston,written_by,Their Eyes Were Watching God,1
3639,The House of the Seven Gables is an excellent read. I also highly recommend Sword Song.,The House of the Seven Gables,release_year,1851,1
3640,I absolutely loved the movie 50 First Dates.  Can you recommend any movies similar to it?,50 First Dates,starred_actors,Rob Schneider,1
3641,Could you recommend anything by George Cruikshank?,George Cruikshank,written_by,Oliver Twist,1
3642,George Cruikshank wrote the novel Oliver Twist. Have you heard of it?,Oliver Twist,written_by,Charles Dickens,1
3643,"Yes I have, I believe he was friends with Charles Dickens.",Charles Dickens,written_by,Great Expectations,1
3644,Charles Dickens is one of my favorites. Did you know he wrote Great Expectations?,Great Expectations,release_year,1860,1
3645,I knew that but I have not read it. Can't believe that was released in 1860!  I assume you have read it?,1860,release_year,Great Expectations,1
3646,My nephew loves the movie Transformers.  Can you recommend a movie that's similar to that?,Transformers,Film Executive Produced,Steven Spielberg,1
3647,"If he enjoys the Adventure aspect, he might enjoy Indiana Jones and the temple of Doom or A.I. Artificial Intelligence.",A.I. Artificial Intelligence,starred_actors,Robin Williams,1
3648,I like a book called Cinder. do you know who wrote it?,Cinder,written_by,Marissa Meyer,1
3649,It is a romance novel by Marissa Meyer. ,Marissa Meyer,written_by,Winter,1
3650,Yes Winter was released in 2015. She also wrote Scarlet and Heartless,2015,release_year,You're Never Weird on the Internet (Almost),1
3651,Do you like Mitch Albom?,Mitch Albom,written_by,The Five People You Meet in Heaven,1
3652,I like the book Atlas Shrugged. What year was it written?,Atlas Shrugged,release_year,1957,1
3653,Could you recommend something with Xander Berkeley?,Xander Berkeley,starred_actors,Nikita,1
3654,"Sure, she starred in Nikita and If These Walls Could Talk. Do you like thrillers?",Nikita,has_genre,Psychological thriller,1
3655,"Yes, What Lies Beneath, When a Stranger Calls, and Vanilla Sky are all thrillers",When a Stranger Calls,has_genre,Suspense,1
3656,Do you know Helen McCrory?,Helen McCrory,starred_actors,The Special Relationship,1
3657,I really like romantic comedies like Lost in Translation.  Could you recommend something similar?,Lost in Translation,written_by,Sofia Coppola,1
3658,Are you at all a fan of Sofia Coppola?,Sofia Coppola,written_by,Somewhere,1
3659,"Didn't she write Somewhere?  If so, yes, I am a huge fan!",Somewhere,written_by,Sofia Coppola,1
3660,Well if you liked Somewhere might I recommend you watch Peggy Sue Got Married?,Peggy Sue Got Married,starred_actors,Nicolas Cage,1
3661,"Oh, I've heard great things about that movie!  It stars Nicolas Cage, right?  ",Nicolas Cage,starred_actors,The Sorcerer's Apprentice (Fantasy Film) #11,1
3662,Do you know E.H. Gombrich?,E.H. Gombrich,written_by,The Story of Art,1
3663,Do you know who the Minnesota Vikings are?,Minnesota Vikings,Team,National Football League,1
3664,I like the Ender's Game a lot.  Can you tell me something similar to that?,Ender's Game,has_genre,Science Fiction,1
3665,Similar to Ender's Game is The Adjustment Bureau.,The Adjustment Bureau,has_genre,Science Fiction,1
3666,Can you recommend any book like The Martian?,The Martian,release_year,2012,1
3667,Have you read Witches Abroad?,Witches Abroad,Next in series,Reaper Man,1
3668,Can you recommend any other Speculative fiction books by Terry Pratchett?,Terry Pratchett,written_by,Lords and Ladies,1
3669,Do you like Taylor Swift?,Taylor Swift,starred_actors,Valentine's Day (Romantic comedy Film),1
3670,Any recommendations like Deception Point?,Deception Point,release_year,2001,1
3671,"Well, in 2001 Violets Are Blue was released, and it's a Thriller.",2001,release_year,Violets Are Blue,1
3672,"Well, in 2001 Violets Are Blue was released, and it's a Thriller.",Violets Are Blue,has_genre,Thriller,1
3673,"I liked the book A Wrinkle in Time, can you recommend me similar books please?",A Wrinkle in Time,written_by,Madeleine L'Engle,1
3674,Could you recommend a movie like The Social Network?,The Social Network,has_genre,Biographical film,1
3675,I'm not super into golf but I've been hearing good things about Rickie Fowler.  Are you familiar with him?,Rickie Fowler,Sport played,Golf,1
3676,Do you know who the author of Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream is?,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,written_by,Ralph Steadman,1
3677,"do you know who wrote  Harry Potter and the Cursed Child, Parts One and Two?","Harry Potter and the Cursed Child, Parts One and Two",written_by,J.K. Rowling,1
3678,Do you have a movie called Snatch.,Snatch,starred_actors,Jason Statham,1
3679,Do you know who starred in Indiana Jones and the Last Crusade. I can't remember their names!,Indiana Jones and the Last Crusade,written_by,Philip Kaufman,1
3680,He also directed The Right Stuff and another Indiana Jones movie The Kingdom of the Crystal Skull,The Right Stuff,has_genre,Docudrama,1
3681,"The Right Stuff was the docudrama about the astronauts, right? I liked it!",The Right Stuff,starred_actors,Veronica Cartwright,1
3682,Could you recommend other movies similar to Dead Poets Society?,Dead Poets Society,has_genre,Teen drama,1
3683,I like teen drama's like The Last Song! What other teen drama's do you recommend?,The Last Song,written_by,Nicholas Sparks,1
3684,My favorites are The Notebook and Safe Haven. They were all written by Nicholas Sparks. Do you have any other favorites?,Nicholas Sparks,written_by,The Notebook,1
3685,My favorites are The Notebook and Safe Haven. They were all written by Nicholas Sparks. Do you have any other favorites?,The Notebook,has_genre,Drama,1
3686,I like Justin Bieber.,Justin Bieber,Romantic relationship (with celebrities),Selena Gomez,1
3687,Who doesn't? Did you know he used to date Selena Gomez?,Selena Gomez,Romantic relationship (with celebrities),Justin Bieber,1
3688,I like Fiona Stafford,Fiona Stafford,written_by,Emma,1
3689,"Fiona Stafford wrote Emma, a romance novel.",Emma,written_by,Fiona Stafford,1
3690,Do you know who wrote Red Dragon?,Red Dragon,written_by,Thomas Harris,1
3691,Do you like Patrick McGoohan? What are some movies he is in?,Patrick McGoohan,starred_actors,Treasure Planet,1
3692,Patrick McGoohan is an actor who has been in such films as Treasure Planet and The Phantom,Treasure Planet,written_by,Ron Clements,1
3693,Doesn't Treasure Planet have a lot of writers?,Treasure Planet,written_by,Terry Rossio,1
3694,What can you tell me about Victor Hugo? I think I might have heard of him.,Victor Hugo,written_by,The Hunchback of Notre-Dame,1
3695,I'd love to read something similar to The Adventures of Tom Sawyer. Any recommendations? ,The Adventures of Tom Sawyer,has_genre,Fiction,1
3696,Do you like Sia Furler's music?,Sia Furler,is-a,Singer,1
3697,I'll have to check those out. Is he similar to Coldplay?,Coldplay,Record Label,Capitol Records,1
3698,"Yes he is, did you know they're on the same record label Capitol Records?",Capitol Records,Record Label,Roger Waters,1
3699,I like the book Im Westen nichts Neues.  Can you recommend a book similar to it.,Im Westen nichts Neues,written_by,Erich Maria Remarque,1
3700,Im Westen nichts Neues was written by Erich Maria Remarque. It was released in 1929. Did you know 1929 was the year that released The Sound and the Fury?,Erich Maria Remarque,written_by,Arc de Triomphe,1
3701,I did not know that.  Did Erich Maria Remarque write Arc de Triomphe,Arc de Triomphe,written_by,Erich Maria Remarque,1
3702,I did not know that.  Did Erich Maria Remarque write Arc de Triomphe,Erich Maria Remarque,Spouse (or domestic partner),Paulette Goddard,1
3703,"I like the actor Anthony Hopkins, can you tell me some movies he has been in?",Anthony Hopkins,starred_actors,Peter and Paul,1
3704,Could you recommend a movie similar to The Green Mile?,The Green Mile,written_by,Stephen King,1
3705,Could you recommend some books like Uglies?,Uglies,Next in series,Pretties,1
3706,It's young adult fiction. It's part of a series. The next book is called Pretties. Do you like that genre?,Pretties,has_genre,Young-adult fiction,1
3707,Do you like the New York Knicks?,New York Knicks,Team Owned,The Madison Square Garden Company,1
3708,I am not a huge basketball fan. They are owned by The Madison Square Garden Company. Are you a fan?,The Madison Square Garden Company,Team Owned,New York Knicks,1
3709,"I like baseball, football, and soccer. Other than knowing that they are based in New York City and that Patrick Ewing was on the team years ago, I know nothing else.",New York City,Notable filming location,Annie Hall,1
3710,"Speaking of New York, did you know that Annie Hall was filmed there. Truman Capote was in it. ",Truman Capote,starred_actors,Annie Hall,1
3711,"Speaking of New York, did you know that Annie Hall was filmed there. Truman Capote was in it. ",Annie Hall,directed_by,Woody Allen,1
3712,"I did not know that! That was directed by Woody Allen, right?",Woody Allen,directed_by,Annie Hall,1
3713,What can you tell me about the movie Sherlock Holmes: A Game of Shadows?,Sherlock Holmes: A Game of Shadows,has_genre,Thriller,1
3714,Do you know Simona Halep? I heard of the name but could not remember what she does.,Simona Halep,is-a,Athlete,1
3715,I heard of Victoria. She lost a couple of matches with Maria Sharapova. ,Maria Sharapova,is-a,Model,1
3716,X-Men: First Class has genre Action. so you like actions movies correct?,Action,has_genre,Zoom,1
3717,"I like some action movies, like Aeon Flux and Zoom. ",Zoom,release_year,2006,1
3718,Zoom is a great movie it was released in 2006. you will enjoy it.,2006,release_year,"You, Me and Dupree",1
3719,"I loved Zoom. You, Me and Dupree was released in 2006 also, do you recomenned this too? ","You, Me and Dupree",has_genre,Comedy,1
3720,Do you know of any director recommendations like Tom Shadyac?,Tom Shadyac,directed_by,The Nutty Professor,1
3721,Are you looking for recommendations about films he has made? He directed The Nutty Professor.,The Nutty Professor,written_by,Tom Shadyac,1
3722,"I like the Baltimore Ravens, what do you think?",Baltimore Ravens,Team coached,Jim Caldwell,1
3723,"I'm a big fan of the National Football League and Coach Jim Caldwell is top notch, wouldn't you agree?",Jim Caldwell,Team coached,Baltimore Ravens,1
3724,Do you like Mervyn Peake?,Mervyn Peake,written_by,The Strange Case of Dr Jekyll and Mr Hyde,1
3725,Horror and Psychological Thriller.,Horror,has_genre,The Long Walk,1
3726,Could you advise who wrote The Fountainhead?,The Fountainhead,written_by,Ayn Rand,1
3727,"Two names come to mind, Leonard Peikoff and Ayn Rand. Do you know Ayn Rand?",Ayn Rand,written_by,We the Living,1
3728,Do you like Los Angeles Clippers? Or which sport do you like?,Los Angeles Clippers,Team coached,Doc Rivers,1
3729,"Clippers are cool. Doc Rivers, good coach! How about you, do you like them?",Doc Rivers,Team coached,Boston Celtics,1
3730,"Oh, he coached Boston Celtics too right? I like Lebron James, he plays for Los Angeles Lakers",Boston Celtics,Team coached,Doc Rivers,1
3731,I like Sharp Objects. Any similar books you can recommend?,Sharp Objects,written_by,Gillian Flynn,1
3732,Do you know if Carmelo Anthony is a soccer player?,Carmelo Anthony,Spouse (or domestic partner),La La,1
3733,With Tom Hanks and Meg Ryan right? Yes that is a good one. How about Beautiful Creatures? What is that about?,Beautiful Creatures,has_genre,Romance,1
3734,I know a little bit about him. I know that he is an Athlete for Seam bowling.,Athlete,is-a,Stephen Curry,1
3735,"I don't know much about bowling. You know who I think is a good athlete, Stephen Curry. Would you agree?",Stephen Curry,Sibling,Seth Curry,1
3736,"Oh yeah, he's got a brother named Seth Curry, right?",Seth Curry,has_person,Charlotte,1
3737,"I loved Fifty Shades Darker, can you recommend something similar",Fifty Shades Darker,release_year,2011,1
3738,I would recommend The Gathering.,The Gathering,written_by,Kelley Armstrong,1
3739,Do you have anything by Patrick Süskind?,Patrick Süskind,written_by,Das Parfum. Die Geschichte eines Mörders,1
3740,Do you like Misery?,Misery,written_by,Stephen King,1
3741,"Oh yes! Misery was written by Stephen King. It's a great thriller that also became a movie, starring Rob Reiner. Have you seen it?",Stephen King,starred_actors,The Stand (Horror Film),1
3742,"I saw it with Kathy Bates. Did you know Stephen King is also great at writing Horror films, like The Stand?",Stephen King,starred_actors,Creepshow 2,1
3743,"Yes, The Stand was a great horror, also a film. Another similar film is Creepshow. Have you seen it?",Creepshow,has_genre,Animation,1
3744,"A Cult film, like The Fury?",The Fury,has_genre,Horror,1
3745,Do you know who wrote In Cold Blood?,In Cold Blood,written_by,Truman Capote,1
3746,I like Breaking Dawn. What do you recommend?,Breaking Dawn,Next in series,The Short Second Life of Bree Tanner,1
3747,Breaking Dawn has genre Young-adult fiction. Have you read the next in that series? It is called The Short Second Life of Bree Tanner.,The Short Second Life of Bree Tanner,written_by,Stephenie Meyer,1
3748,Is that the one written by  written by Stephenie Meyer?,Stephenie Meyer,written_by,"Twilight: The Graphic Novel,",1
3749,Do you like the movie The Godfather: Part II?,The Godfather: Part II,starred_actors,Al Pacino,1
3750,"I do, I love anything with Al Pacino and Robert DeNiro, have you seen it recently?",Al Pacino,starred_actors,Looking for Richard,1
3751,Yes I also enjoy Looking for Richard. Have you seen it?,Looking for Richard,starred_actors,Kevin Spacey,1
3752,I have not but I can see that it stars Kevin Spacey who's a favorite of mine!,Kevin Spacey,written_by,Beyond the Sea,1
3753,yes I know it stars Michael Byrne what else can you tell me,Michael Byrne,starred_actors,Vampyres,1
3754,"I'm not seeing any additional info for Beyond the Sea, but Michael Byrne also starred in Vampyres and Tomorrow Never Dies",Vampyres,starred_actors,Michael Byrne,1
3755,I like Stardust. Can you tell me a little abut it?,Stardust,written_by,Neil Gaiman,1
3756,Could you recommend a film directed by Martin McDonagh?,Martin McDonagh,written_by,Seven Psychopaths,1
3757,You you know anything about AB de Villiers?,AB de Villiers,is-a,Singer-songwriter,1
3758,An athlete like Yuvraj Singh and Wayne Rooney? I wonder what sport?,Yuvraj Singh,Sport played,Cricket (Interest),1
3759,Can you recommend any books by the author Franz Kafka? He seems very interesting.,Franz Kafka,written_by,Franz Kafka's The Castle,1
3760,Could you recommend any other books similar to A Walk to Remember?,A Walk to Remember,written_by,Nicholas Sparks,1
3761,"True Believer is another good book, Do you like books by Nicholas Sparks?",True Believer,written_by,Wesley Strick,1
3762,Tell me more about True Believer. Was it made to a movie like some of the known Nicolas Sparks novel?,True Believer,written_by,Nicholas Sparks,1
3763,Do you like The Lord of the Rings: The Fellowship of the Ring?,The Lord of the Rings: The Fellowship of the Ring,has_genre,Fantasy,1
3764,Do you have any book titles written by Donna Tartt?,Donna Tartt,written_by,The Secret History,1
3765,Could you recommend any work by Antoine Fuqua? ,Antoine Fuqua,directed_by,Olympus Has Fallen,1
3766,Sure. Antoine Fuqua directed Olympus Has Fallen which is a great action film starring Gerard Butler.,Olympus Has Fallen,starred_actors,Rick Yune,1
3767,Who else starred in Olympus Has Fallen? ,Olympus Has Fallen,Produced by,Danny Lerner,1
3768,Rick Yune starred in Olympus has Fallen as well. It was produced by Danny Lerner.,Danny Lerner,Produced by,"War, Inc.",1
3769,"War, Inc. was produced by Danny Lerner as well. John Cusack starred in the adaption comedy.",Danny Lerner,Produced by,"War, Inc.",1
3770,"War, Inc. was produced by Danny Lerner as well. John Cusack starred in the adaption comedy.","War, Inc.",written_by,Mark Leyner,1
3771,I like Justin Timberlake. Do you?,Justin Timberlake,Spouse (or domestic partner),Cameron Diaz,1
3772,"I don't know much about him, but his wife Cameron Diaz, was in one of my favorite movies Vanilla Sky ",Vanilla Sky,starred_actors,Tom Cruise,1
3773,"Tom Cruise is in that movie with her, I think they were in another movie together too.",Tom Cruise,starred_actors,War of the Worlds,1
3774,"I don't know of any other movies they were in together, but he was also in War of the Worlds.",War of the Worlds,starred_actors,Tom Cruise,1
3775,"Speaking of Tom Cruise, he is friends with Will Smith. I wonder if he has other celebrity friends?",Tom Cruise,Celebrity friend,Jada Pinkett Smith,1
3776,"For the life of me, I can't remember who wrote The Adventures of Tom Sawyer, who was the author?",The Adventures of Tom Sawyer,Subject,Missouri,1
3777,Mark Twain! It was set in Missouri. Have you heard of that state?,Missouri,Subject,Bloody Bones,1
3778,I likw the Outliers: The Story of Success. What do you think about it?,Outliers: The Story of Success,written_by,Malcolm Gladwell,1
3779,Has William Hootkins starred in anything?,William Hootkins,starred_actors,Raiders of the Lost Ark,1
3780,What do you think about Saina Nehwal?,Saina Nehwal,Sport played,Badminton,1
3781,Wasn't that one in Wembley Stadium?,Wembley Stadium,Contained by,Western Europe,1
3782,"Yes it was, it's in Western Europe.",Western Europe,Partially contained by,France,1
3783,I like The Giver. Could you recommend some books like it?,The Giver,written_by,Lois Lowry,1
3784,Could you recommend movie like 500 Days of Summer.,500 Days of Summer,has_genre,Romance,1
3785,Could you recommend a movie like American Gangster? I love that movie!,American Gangster,Film Executive Produced,Steven Zaillian,1
3786,"It was written by Steven Zaillian, who also wrote The Interpreter. ",The Interpreter,starred_actors,Sydney Pollack,1
3787,I was just looking up Sydney Pollack. Did you know she produced the movie Random Hearts? That was a good one too.,Sydney Pollack,Produced by,Tootsie,1
3788,"I sure do, I'm sure you know it has Steve Carell but it also stars Rob Huebel and Kristen Wiig. Oh and Julie Andrews!",Steve Carell,starred_actors,Get Smart (Action/Adventure Film),1
3789,"I have, doesn't that also have Larry Miller and Anne Hathaway? ",Larry Miller,Film appeared in,I Am Comic,1
3790,"Yes, do you know any other movies with Sarah Silverman?",Sarah Silverman,starred_actors,There's Something About Mary,1
3791,Do you have any actors similar to Barry Corbin?,Barry Corbin,starred_actors,Anger Management,1
3792,"Of course. Maybe you like Brian Austin Green? They appeared together in Anger Management, a good sitcom.",Anger Management,starred_actors,Noureen DeWulf,1
3793,Could you recommend something similar to The Book Thief?,The Book Thief,written_by,Markus Zusak,1
3794,The Messenger is a great one or The Mark of Athena.,The Messenger,written_by,Oren Moverman,1
3795,Can you tell me the Genre of The Messenger?,The Messenger,written_by,Markus Zusak,1
3796,Do you know anything about James Harden?,James Harden,is-a,Athlete,1
3797,Could you recommend some books by author Pearl S. Buck?,Pearl S. Buck,written_by,The Good Earth,1
3798,I would be happy to. She is a great author who wrote The Good Earth which is a Historical period drama.,The Good Earth,written_by,Pearl S. Buck,1
3799,"I like movies directed by Peter Berg, do you have any recommendations? ",Peter Berg,directed_by,Battleship,1
3800,"He directed the War Film, Battleship. Have you seen it?",Battleship,starred_actors,Tadanobu Asano,1
3801,"I have not seen it, actually. Is that the movie starring Rhianna and Tadanobu Asano?",Tadanobu Asano,starred_actors,Redline,1
3802,Can you recommend similar actor to Siobhan Fallon Hogan,Siobhan Fallon Hogan,starred_actors,What's the Worst That Could Happen?,1
3803,Ana Gasteyer starred in What's the Worst That Could Happen? alongside Siobhan Fallon Hogan.,Ana Gasteyer,starred_actors,Woman on Top,1
3804,Any other movies starred by Ana Gasteyer?,Ana Gasteyer,starred_actors,What's the Worst That Could Happen?,1
3805,"Hi, can you tell me some information on the book Tess of the d'Urbervilles: A Pure Woman Faithfully Presented?",Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,written_by,Tim Dolin,1
3806,Do you have an opinion of Daughter of Smoke & Bone? ,Daughter of Smoke & Bone,written_by,Laini Taylor,1
3807,I personally haven't seen it but I do know that it was written by Laini Taylor,Laini Taylor,written_by,My True Love Gave to Me: Twelve Holiday Stories,1
3808,I'd like to read books by A.W. Wheen. What can you recommend?,A.W. Wheen,written_by,Im Westen nichts Neues,1
3809,"If you have not read it yet, Im Westen nichts Neues, might be something you will enjoy. ",Im Westen nichts Neues,release_year,1929,1
3810,"I really love The Wizard of Oz, but I've seen it so many times.  Could you recommend another movie like it?",The Wizard of Oz,Sequel,Oz the Great and Powerful,1
3811,Do you know of any movies related to Little Miss Sunshine?,Little Miss Sunshine,has_genre,Road movie,1
3812,What do you think about the Atlanta Falcons?,Atlanta Falcons,Team,National Football League,1
3813,"I am familiar with the Pittsburgh Steelers, but I don't really watch them.",Pittsburgh Steelers,Team coached,Mike Tomlin,1
3814,Don't have a favorite. But I know about New Orleans Saints and the Dallas Cowboys.,New Orleans Saints,Team,National Football League,1
3815,Tsotsi sounds interesting. who starrs in this movie,Tsotsi,starred_actors,Rapulana Seiphemo,1
3816,Kenneth Nkosi and Rapulana Seiphemo stars in Tsotsi.,Tsotsi,has_genre,Crime Fiction,1
3817,Who is Chris Penn?,Chris Penn,starred_actors,True Romance,1
3818,"He is an actor. You might know him from the movies True Romance, or perhaps The Funeral.",True Romance,starred_actors,Val Kilmer,1
3819,Wasn't Val Kilmer in True Romance as well?,Val Kilmer,starred_actors,True Romance,1
3820,she starred in The Loss of Sexual Innocence and The Merry Gentleman. Have you seen them?,The Merry Gentleman,starred_actors,Kelly Macdonald,1
3821,It's an ok movie I guess. The Hitchhiker's Guide to the Galaxy has genre Sci-Fi. Are you into sci-fi movies?,Sci-Fi,has_genre,Zombieland,1
3822,Certain ones like Zombieland ,Zombieland,starred_actors,Amber Heard,1
3823,Zombieland is actually a good. did you know Amber Heard stars in it?,Amber Heard,starred_actors,The Rum Diary,1
3824,Yes I also liked her in The Rum Diary,The Rum Diary,has_genre,Thriller,1
3825,Could you recommend films that Peter Farrelly made?,Peter Farrelly,written_by,There's Something About Mary,1
3826,Sure. He wrote There's Something About Mary and Stuck on You? Have you seen them?,There's Something About Mary,starred_actors,Ben Stiller,1
3827,I have seen There's Something About Mary. Ben Stiller is hilarious.,Ben Stiller,starred_actors,Zoolander,1
3828,I love Alexander. I've seen 13 and Straw Dogs.,Straw Dogs,written_by,Rod Lurie,1
3829,I like Melina Karakosta. Do you have stuff written by her?,Melina Karakosta,written_by,Le Petit Prince,1
3830,I like Justin Bieber a lot.  What songs does he sing?,Justin Bieber,Lyricist,Never Let You Go,1
3831,Could you recommend a movie like Insomnia?,Insomnia,has_genre,Thriller,1
3832,Was that the movie with Luke Ford?  I'm a fan of his work!,Luke Ford,starred_actors,Animal Kingdom (Crime Fiction Film),1
3833,That's right! What else has Luke Ford been in?,Luke Ford,Starring TV role,McLeod's Daughters,1
3834,Have you heard of Dom Marcos Barbosa or read any of his books?,Dom Marcos Barbosa,written_by,Le Petit Prince,1
3835,"Oh yes, he is very famous for being the author of Le Petit Prince.",Le Petit Prince,written_by,Richard Howard,1
3836,Do you like the Seattle Seahawks?,Seattle Seahawks,Team coached,Pete Carroll,1
3837,I do! They're my favorite football team. I love their coach Pete Carroll.,Pete Carroll,Coaching history,New York Jets,1
3838,Didn't he used to coach the New York Jets?,New York Jets,Coaching history,Pete Carroll,1
3839,Could you recommend anything with Douglas Smith in it?,Douglas Smith,written_by,Son of a Witch,1
3840,Do you know books similar to Easy?,Easy,written_by,Tammara Webber,1
3841,Could you recommend a book similar to Dragonfly in Amber.,Dragonfly in Amber,has_genre,Romance novel,1
3842,I like the actress Sandra Ellis Lafferty. What are some good movies she has starred in?,Sandra Ellis Lafferty,starred_actors,Walk the Line,1
3843,Do you have something like The Lord of the Rings: The Return of the King? I really dig that flick!,The Lord of the Rings: The Return of the King,has_genre,Fantasy,1
3844,It is an awesome Fantasy movie right! Yes Underworld: Evolution is a similar one.,Fantasy,has_genre,Underworld: Evolution,1
3845,Some of my favorites in that genre are The Omega Code and Quest for Fire.,The Omega Code,starred_actors,William Hootkins,1
